"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CAD_3mon","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3640-20_31",2,31,4,2,"test"," (Operator: lizbethpino, Time: )","SM3640-20","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,36.82079373,NA,110,32.70833333,6,100,32.7083333333333,12.0434679491875,15.7,4,1,NA,58,NA,10,25,3,190,10,6,3,1,2,3,78,4400,507,2,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3641-2_39",2,39,5,7,"test"," (Operator: lizbethpino, Time: )","SM3641-2","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,36.85081025,NA,120,22.29166667,6,100,22.2916666666667,8.21465978489583,10.7,4,1,NA,30,NA,8,25,3,195,20,6,3,1,3,3,55,4325,499,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia","Caiseli,Caiselli,CAISELLI","202167DVPRC_polo_rep2_SMB2446-2_32",2,32,4,1,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,35.25939385,NA,210,28.95833333,6,96,28.9583333333333,10.2105328023958,13.9,3,1,NA,32,NA,10,25,2,210,30,6,3,1,2,3,52,3900,419,2,24,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia","Tai8","202167DVPRC_polo_rep2_TAI8_35",2,35,5,3,"check"," (Operator: lizbethpino, Time: )","TAI8_is_TAI","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,33.11005838,NA,95,41.25,6,100,41.25,13.65789908175,19.8,4,1,NA,55,NA,8,25,3,170,20,6,1,1,1,3,65,4550,439,0,25,1,2,1,4
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_CG1141-1_57",3,57,8,8,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,35.29578442,NA,95,33.54166667,6,100,33.5416666666667,11.8387943575417,16.1,3,1,NA,42,NA,8,25,3,170,30,6,3,1,2,2,56,4200,452,2,25,1,2,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_CM4919-1_64",3,64,8,1,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,34.53441724,NA,170,31.04166667,6,100,31.0416666666667,10.7200586849167,14.9,4,1,NA,45,NA,8,25,3,170,30,6,3,1,2,3,60,4375,454,0,25,1,3,1,5
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_CM9456-12_60",3,60,8,5,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,35.35302398,NA,260,45.41666667,6,100,45.4166666666667,16.0561650575833,21.8,4,1,NA,50,NA,12,25,1,260,30,6,3,1,1,3,60,4300,464,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_CM9912-167_53",3,53,7,5,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,34.6760711,NA,165,63.75,6,84,63.75,22.10599532625,30.6,4,1,NA,40,NA,12,25,2,235,30,6,2,1,1,3,50,4900,512,5,21,1,2,1,3
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_COL2215_49",3,49,7,1,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,34.83989298,NA,90,18.95833333,6,100,18.9583333333333,6.605063044125,9.1,4,1,NA,30,NA,8,25,3,150,30,6,3,1,2,3,35,4700,495,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep3_GM1406-13_61",3,61,8,4,"test"," (Operator: lizbethpino, Time: )","GM1406-13","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,33.74737687,NA,130,41.45833333,6,100,41.4583333333333,13.9910999940208,19.9,4,1,NA,40,NA,10,25,2,290,30,6,3,1,2,2,60,4150,414,2,25,1,2,1,1
